Age,Gender,Ethnicity,Parental_Education,Weekly_Study_Time,Absences,Tutoring,Parental_Support,Extracurricular_Activity,Sports,Music,Volunteering,GPA,Grade_Class,Is_Child,Study_Efficiency,Absence_Rate,Absence_Rate_Category,Total_Activities,Absence_Impact,Study_Impact
17,Female,African American,Bachelor’s,16,13,No,Moderate,No,No,No,No,3.16,B,1,1.2307692307692308,0.43333333333333335,Medium,0,0.24307692307692308,50.56
18,Female,Asian,No Education,17,28,No,Moderate,Yes,Yes,Yes,No,2.79,C,0,0.6071428571428571,0.9333333333333333,High,3,0.09964285714285714,47.43
15,Female,Caucasian,High School,13,18,Yes,Very High,No,No,No,Yes,3.77,A,1,0.7222222222222222,0.6,Medium,1,0.20944444444444443,49.01
17,Female,Caucasian,Bachelor’s,6,4,No,High,Yes,No,No,No,3.04,B,1,1.5,0.13333333333333333,Low,1,0.76,18.240000000000002
17,Male,African American,Some College,6,20,No,Very High,No,No,No,No,3.38,B,1,0.3,0.6666666666666666,Medium,0,0.16899999999999998,20.28
15,Female,Caucasian,Bachelor’s,14,25,No,Moderate,Yes,No,Yes,Yes,3.01,B,1,0.56,0.8333333333333334,High,3,0.1204,42.14
17,Female,African American,High School,11,23,No,Moderate,No,No,No,No,3.94,A,1,0.4782608695652174,0.7666666666666667,High,0,0.17130434782608694,43.339999999999996
16,Female,Other,Higher,7,11,No,High,No,Yes,Yes,Yes,2.74,C,1,0.6363636363636364,0.36666666666666664,Medium,3,0.2490909090909091,19.18
17,Male,Asian,High School,15,15,No,Moderate,Yes,Yes,No,No,3.41,B,1,1.0,0.5,Medium,2,0.22733333333333333,51.150000000000006
17,Male,Caucasian,High School,1,14,No,Very High,No,No,No,No,2.29,D,1,0.07142857142857142,0.4666666666666667,Medium,0,0.16357142857142856,2.29
17,Female,Caucasian,Some College,13,16,No,High,Yes,No,Yes,No,3.47,B,1,0.8125,0.5333333333333333,Medium,2,0.216875,45.11
18,Female,African American,Bachelor’s,15,29,No,Low,No,Yes,No,No,2.84,C,0,0.5172413793103449,0.9666666666666667,High,1,0.09793103448275861,42.599999999999994
15,Female,Asian,Some College,4,14,No,Very High,Yes,No,No,Yes,3.85,A,1,0.2857142857142857,0.4666666666666667,Medium,2,0.275,15.4
18,Male,Caucasian,Some College,4,2,No,High,Yes,Yes,No,No,2.81,C,0,2.0,0.06666666666666667,Low,2,1.405,11.24
18,Male,Caucasian,Higher,19,16,No,High,Yes,No,Yes,Yes,3.26,B,0,1.1875,0.5333333333333333,Medium,3,0.20375,61.94
18,Female,Asian,Some College,20,12,No,Moderate,Yes,No,No,No,3.24,B,0,1.6666666666666667,0.4,Medium,1,0.27,64.80000000000001
17,Female,Caucasian,Bachelor’s,17,26,No,Moderate,Yes,No,Yes,Yes,2.65,C,1,0.6538461538461539,0.8666666666666667,High,3,0.10192307692307692,45.05
16,Female,Caucasian,No Education,17,8,No,Very High,Yes,Yes,Yes,No,3.58,A,1,2.125,0.26666666666666666,Low,3,0.4475,60.86
15,Male,African American,Bachelor’s,4,27,No,Moderate,Yes,Yes,Yes,No,2.7,C,1,0.14814814814814814,0.9,High,3,0.1,10.8
16,Male,African American,Bachelor’s,10,12,No,Low,No,Yes,No,No,3.65,A,1,0.8333333333333334,0.4,Medium,1,0.30416666666666664,36.5
18,Male,Asian,Some College,12,15,No,Moderate,No,Yes,Yes,No,3.11,B,0,0.8,0.5,Medium,2,0.20733333333333331,37.32
18,Female,Caucasian,No Education,2,18,No,No Support,No,No,No,Yes,2.45,D,0,0.1111111111111111,0.6,Medium,1,0.13611111111111113,4.9
16,Male,African American,No Education,17,7,Yes,Low,No,No,Yes,No,3.89,A,1,2.4285714285714284,0.23333333333333334,Low,1,0.5557142857142857,66.13
16,Female,African American,No Education,13,21,No,Moderate,No,Yes,No,No,3.4,B,1,0.6190476190476191,0.7,High,1,0.1619047619047619,44.199999999999996
18,Male,African American,Bachelor’s,11,18,No,Very High,No,No,Yes,Yes,3.45,B,0,0.6111111111111112,0.6,Medium,2,0.19166666666666668,37.95
18,Female,Caucasian,High School,13,24,Yes,Moderate,Yes,Yes,Yes,No,3.86,A,0,0.5416666666666666,0.8,High,3,0.16083333333333333,50.18
15,Female,Caucasian,High School,17,23,No,Moderate,Yes,No,Yes,No,2.78,C,1,0.7391304347826086,0.7666666666666667,High,2,0.1208695652173913,47.26
18,Male,Caucasian,No Education,1,22,Yes,Low,Yes,Yes,Yes,Yes,3.4,B,0,0.045454545454545456,0.7333333333333333,High,4,0.15454545454545454,3.4
16,Male,African American,High School,6,20,No,No Support,No,Yes,No,Yes,2.5,C,1,0.3,0.6666666666666666,Medium,2,0.125,15.0
16,Female,Asian,High School,14,17,Yes,High,No,Yes,No,No,3.42,B,1,0.8235294117647058,0.5666666666666667,Medium,1,0.2011764705882353,47.879999999999995
18,Female,Asian,Bachelor’s,14,13,Yes,Very High,Yes,No,Yes,Yes,3.75,A,0,1.0769230769230769,0.43333333333333335,Medium,3,0.28846153846153844,52.5
15,Male,Caucasian,Bachelor’s,16,15,No,High,No,Yes,No,Yes,3.67,A,1,1.0666666666666667,0.5,Medium,2,0.24466666666666667,58.72
15,Female,Caucasian,High School,10,23,No,Very High,Yes,No,Yes,Yes,3.75,A,1,0.43478260869565216,0.7666666666666667,High,3,0.16304347826086957,37.5
17,Female,Caucasian,No Education,1,16,No,Very High,No,No,Yes,No,2.75,C,1,0.0625,0.5333333333333333,Medium,1,0.171875,2.75
17,Female,Caucasian,No Education,20,19,No,High,Yes,No,Yes,No,3.69,A,1,1.0526315789473684,0.6333333333333333,Medium,2,0.19421052631578947,73.8
17,Female,Caucasian,Some College,17,10,No,Very High,Yes,Yes,No,Yes,3.07,B,1,1.7,0.3333333333333333,Low,3,0.307,52.19
16,Female,African American,Higher,3,12,No,High,Yes,No,Yes,Yes,2.41,D,1,0.25,0.4,Medium,3,0.20083333333333334,7.23
18,Female,Other,High School,8,10,Yes,Low,Yes,No,No,No,3.27,B,0,0.8,0.3333333333333333,Low,1,0.327,26.16
18,Male,Caucasian,High School,16,27,No,Low,No,Yes,No,No,2.18,D,0,0.5925925925925926,0.9,High,1,0.08074074074074075,34.88
18,Female,Caucasian,High School,16,28,Yes,Low,Yes,Yes,Yes,No,2.82,C,0,0.5714285714285714,0.9333333333333333,High,3,0.10071428571428571,45.12
18,Male,Asian,Bachelor’s,16,3,No,Very High,No,No,No,Yes,3.98,A,0,5.333333333333333,0.1,Low,1,1.3266666666666667,63.68
17,Male,Caucasian,Bachelor’s,15,28,No,High,Yes,Yes,No,No,2.46,D,1,0.5357142857142857,0.9333333333333333,High,2,0.08785714285714286,36.9
16,Male,Asian,Bachelor’s,19,25,No,High,Yes,Yes,No,Yes,2.68,C,1,0.76,0.8333333333333334,High,3,0.1072,50.92
16,Male,Asian,Higher,7,13,No,Moderate,Yes,No,No,No,2.24,D,1,0.5384615384615384,0.43333333333333335,Medium,1,0.17230769230769233,15.680000000000001
17,Male,Other,Some College,14,4,Yes,Moderate,Yes,No,No,No,3.9,A,1,3.5,0.13333333333333333,Low,1,0.975,54.6
16,Male,Caucasian,High School,0,3,No,No Support,No,No,Yes,No,2.2,D,1,0.0,0.1,Low,1,0.7333333333333334,0.022000000000000002
18,Female,Caucasian,Bachelor’s,14,13,No,Very High,No,No,No,No,3.7,A,0,1.0769230769230769,0.43333333333333335,Medium,0,0.2846153846153846,51.800000000000004
17,Male,African American,Bachelor’s,8,6,No,High,Yes,Yes,No,No,2.61,C,1,1.3333333333333333,0.2,Low,2,0.435,20.88
18,Female,Caucasian,Some College,4,9,No,No Support,Yes,Yes,No,No,2.1,D,0,0.4444444444444444,0.3,Low,2,0.23333333333333334,8.4
