StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass
1001,17,Female,African American,Bachelor’s,16,13,No,Moderate,No,No,No,No,3.158425338397968,B
1002,18,Female,Asian,No Education,17,28,No,Moderate,Yes,Yes,Yes,No,2.7946547468873115,C
1003,15,Female,Caucasian,High School,13,18,Yes,Very High,No,No,No,Yes,3.774846576248336,A
1004,17,Female,Caucasian,Bachelor’s,6,4,No,High,Yes,No,No,No,3.040574279085209,B
1005,17,Male,African American,Some College,6,20,No,Very High,No,No,No,No,3.3823099195118047,B
1007,15,Female,Caucasian,Bachelor’s,14,25,No,Moderate,Yes,No,Yes,Yes,3.0092684816470587,B
1009,17,Female,African American,High School,11,23,No,Moderate,No,No,No,No,3.944525494888357,A
1010,16,Female,Other,Higher,7,11,No,High,No,Yes,Yes,Yes,2.7351381541661945,C
1011,17,Male,Asian,High School,15,15,No,Moderate,Yes,Yes,No,No,3.4135732016505864,B
1013,17,Male,Caucasian,High School,1,14,No,Very High,No,No,No,No,2.286981785170473,D
1014,17,Female,Caucasian,Some College,13,16,No,High,Yes,No,Yes,No,3.4707064455771635,B
1015,18,Female,African American,Bachelor’s,15,29,No,Low,No,Yes,No,No,2.8437567205536025,C
1016,15,Female,Asian,Some College,4,14,No,Very High,Yes,No,No,Yes,3.849988936582424,A
1017,18,Male,Caucasian,Some College,4,2,No,High,Yes,Yes,No,No,2.814171388003823,C
1018,18,Male,Caucasian,Higher,19,16,No,High,Yes,No,Yes,Yes,3.263020137969636,B
1019,18,Female,Asian,Some College,20,12,No,Moderate,Yes,No,No,No,3.241106571244777,B
1020,17,Female,Caucasian,Bachelor’s,17,26,No,Moderate,Yes,No,Yes,Yes,2.6532597213743268,C
1021,16,Female,Caucasian,No Education,17,8,No,Very High,Yes,Yes,Yes,No,3.575574035962538,A
1022,15,Male,African American,Bachelor’s,4,27,No,Moderate,Yes,Yes,Yes,No,2.696441739750198,C
1023,16,Male,African American,Bachelor’s,10,12,No,Low,No,Yes,No,No,3.653784650463853,A
1024,18,Male,Asian,Some College,12,15,No,Moderate,No,Yes,Yes,No,3.1106182637955824,B
1025,18,Female,Caucasian,No Education,2,18,No,No Support,No,No,No,Yes,2.452458662992309,D
1027,16,Male,African American,No Education,17,7,Yes,Low,No,No,Yes,No,3.8904369203153166,A
1028,16,Female,African American,No Education,13,21,No,Moderate,No,Yes,No,No,3.3995554584432783,B
1029,18,Male,African American,Bachelor’s,11,18,No,Very High,No,No,Yes,Yes,3.4459471277475164,B
1030,18,Female,Caucasian,High School,13,24,Yes,Moderate,Yes,Yes,Yes,No,3.859446752168136,A
1031,15,Female,Caucasian,High School,17,23,No,Moderate,Yes,No,Yes,No,2.7769637260462345,C
1033,18,Male,Caucasian,No Education,1,22,Yes,Low,Yes,Yes,Yes,Yes,3.3988565840666807,B
1034,16,Male,African American,High School,6,20,No,No Support,No,Yes,No,Yes,2.500520348439192,C
1035,16,Female,Asian,High School,14,17,Yes,High,No,Yes,No,No,3.420183814145462,B
1037,18,Female,Asian,Bachelor’s,14,13,Yes,Very High,Yes,No,Yes,Yes,3.751129262221729,A
1038,15,Male,Caucasian,Bachelor’s,16,15,No,High,No,Yes,No,Yes,3.666326633276463,A
1039,15,Female,Caucasian,High School,10,23,No,Very High,Yes,No,Yes,Yes,3.751951894639624,A
1040,17,Female,Caucasian,No Education,1,16,No,Very High,No,No,Yes,No,2.7459797104514028,C
1041,17,Female,Caucasian,No Education,20,19,No,High,Yes,No,Yes,No,3.688037828818925,A
1042,17,Female,Caucasian,Some College,17,10,No,Very High,Yes,Yes,No,Yes,3.074237847132873,B
1043,16,Female,African American,Higher,3,12,No,High,Yes,No,Yes,Yes,2.406360192221997,D
1044,18,Female,Other,High School,8,10,Yes,Low,Yes,No,No,No,3.267318806678803,B
1045,18,Male,Caucasian,High School,16,27,No,Low,No,Yes,No,No,2.181328975476723,D
1046,18,Female,Caucasian,High School,16,28,Yes,Low,Yes,Yes,Yes,No,2.8240263713335576,C
1047,18,Male,Asian,Bachelor’s,16,3,No,Very High,No,No,No,Yes,3.984488125289285,A
1048,17,Male,Caucasian,Bachelor’s,15,28,No,High,Yes,Yes,No,No,2.4632347130388768,D
1049,16,Male,Asian,Bachelor’s,19,25,No,High,Yes,Yes,No,Yes,2.680651070558804,C
1050,16,Male,Asian,Higher,7,13,No,Moderate,Yes,No,No,No,2.2425608031272803,D
1051,17,Male,Other,Some College,14,4,Yes,Moderate,Yes,No,No,No,3.900645261529552,A
1052,16,Male,Caucasian,High School,0,3,No,No Support,No,No,Yes,No,2.2036702228384915,D
1054,18,Female,Caucasian,Bachelor’s,14,13,No,Very High,No,No,No,No,3.69588100730656,A
1055,17,Male,African American,Bachelor’s,8,6,No,High,Yes,Yes,No,No,2.6078741553169253,C
1056,18,Female,Caucasian,Some College,4,9,No,No Support,Yes,Yes,No,No,2.098069596310563,D
1057,18,Female,Caucasian,Bachelor’s,15,26,No,Low,Yes,No,No,No,3.955567011951827,A
1058,15,Male,African American,Bachelor’s,12,1,No,Moderate,No,No,Yes,No,3.018669521190816,B
